case_id,dataset_item_id,trace_id,job_title,profile_summary,fit_score,fit_explanation,human_ranking_reasonable,human_notes
cal-01,019f801b-a8ce-730c-828e-9cc63ae4896b,019f5c21-9bec-7404-a5f3-416589d2fdb6,Sales Assistant,"senior machine learning engineer/ml engineer; skills: python, pytorch, tensorflow, kubernetes, docker, aws, gcp, mlflow",5,"The Sales Assistant role is focused on sales support and assistance, which does not align with Lukas's senior machine learning engineering and MLOps expertise. There is a significant mismatch between the technical skills Lukas possesses and the sales-oriented nature of this job. This role does not leverage Lukas's core competencies.",,
cal-02,019f801b-a8cb-71b6-a138-8cf37f11d317,019f5c22-b3ed-795a-a1a1-7f121f523ae8,Licensed Master Social Worker,"junior data analyst/data scientist; skills: statistics, excel, basic python, basic sql, data visualization, teaching, communication",5,"This Licensed Master Social Worker role requires specific social work licensure and experience in hospital or inpatient settings, which the candidate does not have. The candidate's background in data analysis and statistics does not align with the social work field, resulting in a very low fit score.",,
cal-03,019f801b-a8c8-7ff2-9d81-fea84eb8ca78,019f5c24-3892-7516-9ac1-1edc51340f83,Freelance Copywriter,"junior data scientist/data analyst; skills: python, sql, pandas, scikit-learn, matplotlib, jupyter, git, aws",5,"This freelance copywriter role requires strong writing and SEO skills, which the candidate does not list. The candidate's skills are technical and data-focused, not content creation. The job is remote, which the candidate does not prefer. Hence, the fit is very low.",,
cal-04,019f801b-a8c5-7d99-9b49-1280dcb4a169,019f5c27-6f23-726c-9ede-7a9aff68aff5,Sales Assistant,"senior machine learning engineer/ml engineer; skills: python, pytorch, tensorflow, kubernetes, docker, aws, gcp, mlflow",5,"The Sales Assistant role is sales-focused and does not align with Lukas's technical machine learning and engineering background. There is no indication of sales experience or interest in Lukas's profile, resulting in a very low fit score despite the remote nature of the job.",,
cal-05,019f801b-a8c2-7ed3-b8c3-8d739cbe0ea6,019f5c28-7bc1-7c8c-924f-e41585ac3a4b,Staff Product Engineer (Florianópolis),"junior data analyst/data scientist; skills: statistics, excel, python, sql, data visualization, teaching, communication",10,"This Staff Product Engineer position is for Florianópolis, Brazil, and is remote. The candidate is junior level, based in London, UK, and does not accept remote roles, so location and remote work are mismatches. The role demands senior engineering expertise and product ownership, which the candidate does not have. The candidate's skills in data analysis and statistics are not directly relevant to this engineering role.",,
cal-06,019f801b-a8bf-7a62-9d03-c6494fdf24a4,019f5c2b-5923-7eb8-a79a-7ddcbe7ddbcd,Sales Assistant,"junior data scientist/data analyst; skills: python, sql, pandas, scikit-learn, matplotlib, jupyter, git, aws",10,"The Sales Assistant role is sales-focused and remote, which does not align with Maya's data science skills or preference for non-remote work. There is no indication Maya has sales experience or interest. This role is a poor fit overall.",,
cal-07,019f801b-a8bc-7438-870b-356786e4b396,019f5c2e-6453-78cd-a2c1-cee098668282,Sales Assistant,"senior machine learning engineer/ml engineer; skills: python, pytorch, tensorflow, kubernetes, docker, aws, gcp, mlflow",5,"The Sales Assistant role is focused on sales support, which does not align with Lukas's technical and engineering skills. There is no indication that Lukas has sales experience or interest, making this a poor fit despite the remote location.",,
cal-08,019f801b-a8b9-7553-ae4c-4118b8f5e565,019f5c2f-7111-73b2-b45c-c7eab1701ffc,Staff Product Engineer (Montevideo),"junior data analyst/data scientist; skills: statistics, excel, python, sql, data visualization, teaching, communication",10,"The Staff Product Engineer position in Montevideo, Uruguay requires senior software engineering experience and local presence or remote acceptance. Priya's junior data analyst/scientist background, lack of senior software engineering experience, and location in Berlin do not align with the job requirements. Her Python and SQL skills are relevant but insufficient for this senior role.",,
cal-09,019f801b-a8b6-74f9-a1eb-6e77f964bc22,019f5c32-3300-7fe3-95cb-d25fc950a084,Freelance Copywriter,"junior data scientist/data analyst; skills: python, sql, pandas, scikit-learn, matplotlib, jupyter, git, aws",5,"This freelance copywriter role requires excellent writing and SEO content creation skills, which do not match Maya's data science and analysis background. Maya's skills are technical and analytical rather than writing-focused. The role is remote worldwide, which does not align with Maya's location and remote work preferences.",,
cal-10,019f801b-a8b3-7d1b-bf37-09cc7c688960,019f5c35-615b-79a4-8758-7296b0c0ec6f,Sales Assistant,"senior machine learning engineer/ml engineer; skills: python, pytorch, tensorflow, kubernetes, docker, aws, gcp, mlflow",5,"The Sales Assistant role is sales and customer service oriented, which does not align with Lukas's technical skills and machine learning engineering experience. There is no indication that Lukas has sales or customer support experience, making this a poor fit.",,
